Group,Artifact,Version,Packaging,Repository
org.xmtp,android,0.14.8,aar,Maven Central
com.intuit.playerui,android,0.8.0-next.1,aar,Maven Central
com.indigitall,android,5.10.1,aar,Maven Central
io.journify.analytics.kotlin,android,1.0.6,aar,Maven Central
ru.tinkoff.kotea,android,1.2.1,aar,Maven Central
net.consentmanager.sdk,android,2.5.1,aar,Maven Central
io.didomi.sdk,android,2.9.0,aar,Maven Central
com.frontegg.sdk,android,1.2.16,aar,Maven Central
io.rownd,android,2.11.0,aar,Maven Central
com.viafoura,android,1.1.2,aar,Maven Central
io.github.webrtc-sdk,android,125.6422.03,aar,Maven Central
com.cordial.cordialsdk,android,4.14.1,aar,Maven Central
com.contentstack.sdk,android,3.15.1,aar,Maven Central
party.iroiro.luajava,android,4.0.1,pom,Maven Central
com.circlemedia.ads,android,1.0.1,aar,Maven Central
io.primer,android,2.27.6,aar,Maven Central
ru.astrainteractive.gradleplugin,android,1.3.4,jar,Maven Central
com.yubico.yubikit,android,2.6.0,aar,Maven Central
io.github.woody230.gradle,android,1.3.0,jar,Maven Central
dev.programadorthi.routing,android,0.0.17,aar,Maven Central
com.segment.analytics.kotlin,android,1.16.3,aar,Maven Central
pro.respawn.flowmvi,android,3.0.0,aar,Maven Central
com.inkapplications.watermelon,android,1.7.0,aar,Maven Central
io.appmetrica.gradle,android,2.0.0-beta+90,jar,Maven Central
com.kroger.cache,android,3.1.0-alpha.2,aar,Maven Central
com.bennyapi,android,1.2.1,aar,Maven Central
io.github.ackeescreenshoter,android,2.0.1,aar,Maven Central
com.kroger.telemetry,android,1.1.0,aar,Maven Central
se.ansman.dagger.auto,android,1.2.1,aar,Maven Central
io.github.ginvavilon.traghentto,android,0.6.7,aar,Maven Central
games.rednblack.gdxar,android,0.1,aar,Maven Central
com.taptap.android.payment,android,1.0.0-alpha.0,aar,Maven Central
io.github.bootpay,android,4.4.3,aar,Maven Central
com.bugfender.sdk,android,3.2.0,aar,Maven Central
io.joynr,android,1.24.2,pom,Maven Central
net.servicestack,android,1.1.0,aar,Maven Central
com.segmentify.sdk,android,2.1.9,aar,Maven Central
io.logto.sdk,android,1.1.3,aar,Maven Central
io.github.zxing-cpp,android,2.2.0,aar,Maven Central
com.pcloud.sdk,android,1.9.1,aar,Maven Central
dev.teogor.xenoglot,android,1.0.0-alpha01,aar,Maven Central
io.moneyhash,android,0.1.4.2,aar,Maven Central
com.avito.android,android,2023.22,jar,Maven Central
com.rover12421.android.hide,android,14.0.0_r2,aar,Maven Central
com.kulfyapp.sdk,android,1.1.3,aar,Maven Central
io.github.andrewchupin,android,1.1.0,aar,Maven Central
com.firework.core.di,android,6.3.4,aar,Maven Central
io.tutelar,android,0.0.2,aar,Maven Central
io.github.venturelabsbr,android,1.1.3-dev01,aar,Maven Central
se.ansman.deager,android,0.1.0,aar,Maven Central
com.cloudipsp,android,1.17.2,aar,Maven Central
br.com.zup.beagle,android,2.1.2,aar,Maven Central
io.github.agrawalashish1990,android,1.0.3,aar,Maven Central
io.github.brunogalv.contacts,android,1.0.1,jar,Maven Central
com.privakey.cx,android,2.2.2,aar,Maven Central
cloud.eppo,android,0.0.1,aar,Maven Central
com.flagsense,android,1.0.0,aar,Maven Central
com.attafitamim.navigation,android,1.0.0-beta01,aar,Maven Central
com.suprsend,android,0.1.2,aar,Maven Central
ai.redpen.capture.sdk,android,1.0.2,aar,Maven Central
com.plusauth,android,0.1.10,aar,Maven Central
com.veryfi,android,1.0.0,pom,Maven Central
io.github.dimagor555.mvicompose,android,1.0.0,aar,Maven Central
com.empyr,android,0.1.6,aar,Maven Central
dev.abd3lraouf.ruler,android,1.6.1,aar,Maven Central
com.aromajoin.sdk,android,2.4.6,aar,Maven Central
com.devtodev,android,1.15.0,aar,Maven Central
io.github.iamthevoid.extensions,android,0.6.10,aar,Maven Central
com.ciaransloan.mediapicker.library,android,1.0.0,aar,Maven Central
com.github.ginvavilon.traghentto,android,0.6.2,jar,Maven Central
com.sun.mail,android,1.6.7,pom,Maven Central
dk.nodes.utils,android,1.1.0,aar,Maven Central
com.dynatrace.tools,android,7.2.7.1233,jar,Maven Central
io.mehow.ruler,android,0.5.3,aar,Maven Central
org.hnau.db,android,1.0.2,aar,Maven Central
org.hnau.logging,android,1.0.1,aar,Maven Central
com.gregmarut.commons,android,0.6,jar,Maven Central
com.dukescript.presenters,android,1.7.1,jar,Maven Central
org.hnau,android,1.6.5,aar,Maven Central
ru.hnau,android,1.0.0,aar,Maven Central
com.rover12421.AndroidHideApi,android,2.0.1,aar,Maven Central
io.noties,android,9.0,jar,Maven Central
org.mockito,android,2.20.0,jar,Maven Central
com.dynatrace.ruxit.tools,android,1.0.3,jar,Maven Central
com.backendless,android,3.1.0,jar,Maven Central
com.virgilsecurity.sdk,android,4.2.0,aar,Maven Central
org.boofcv,android,0.26,jar,Maven Central
com.pryv,android,1.0.3,aar,Maven Central
com.redhat.ceylon.gradle,android,1.0.1,jar,Maven Central
com.att.m2x,android,5.1.0,aar,Maven Central
com.futureplatforms.kirin,android,2.0.3,jar,Maven Central
org.arakhne.afc.ui,android,13.0,apklib,Maven Central
uk.os.search,android,1.0.0,aar,Maven Central
com.whereismytransport.othertree.client.android,android,1.0.0,aar,Maven Central
com.google.android,android,4.1.1.4,jar,Maven Central
io.indico,android,1.0.2,jar,Maven Central
com.github.adedayo.intellij.sdk,android,142.1,jar,Maven Central
io.nextop,android,0.1.5,jar,Maven Central
it.appspice,android,0.1.8,aar,Maven Central
io.joynr.java,android,0.8.0,pom,Maven Central
com.jamesmcg.easylib,android,1.0.0,aar,Maven Central
net.glxn.qrgen,android,2.0,jar,Maven Central
net.stepniak.api.push,android,0.1.3,jar,Maven Central
com.iodesystems.android,android-libs,1.0.6,pom,Maven Central
org.apache.edgent.android,edgent-android,1.2.0,pom,Maven Central
com.soundcloud.android,android-crop,1.0.1,aar.asc,Maven Central
com.joanzapata.android,android-iconify-parent,1.0.11,pom,Maven Central
org.solovyev.android,android-common,1.1.18,pom,Maven Central
com.avito.android,android-logger,2023.22,aar,Maven Central
com.veryfi.android,veryfi-android,1.0.0,pom,Maven Central
com.indicative.client.android,Indicative-Android,1.1.0,aar,Maven Central
com.weather.android,airlock-sdk-android,5.4.2,aar,Maven Central
com.adobe.creativesdk.android.shared,android-shared,0.0.9,aar,Maven Central
com.google.maps.android,android-maps-utils-apklib,0.6.1,apklib,Maven Central
com.mustamara.android,yaftamobile-android-sdk,3.0.0,aar,Maven Central
jp.studyplus.android.sdk,studyplus-android-sdk2,2.2.1,aar,Maven Central
org.apache.edgent.android,edgent-platforms-android,1.2.0,pom,Maven Central
com.tapglue.android,tapglue-android-sdk,3.0.3,aar,Maven Central
com.inlocomedia.android,android-sdk,2.2.4,aar,Maven Central
org.metawidget.modules.android,metawidget-android,4.2,jar,Maven Central
it.sephiroth.android.library.android,recyclerview-multiselect,0.4.0,aar,Maven Central
com.mixpanel.android,mixpanel-android-experimental,4.6.1-EXPERIMENTAL,aar,Maven Central
com.yandex.android,ym-android-sdk,1.0,aar,Maven Central
io.branch.sdk.android,branch-android-sdk,1.1.8,N/A,Maven Central
it.sephiroth.android.exif,android-exif-extended,1.0.6,aar,Maven Central
com.octo.android.robospice,robospice-spring-android-parent,1.4.14,pom,Maven Central
com.github.destinyd.android.archetypes,android-archetypes,0.3.0,pom,Maven Central
it.sephiroth.android.library.easing,android-easing,1.0.3,aar,Maven Central
com.anjlab.android,android-async-http,1.0.2,aar.asc,Maven Central
me.dm7.android.widget,android.widget,1.0,aar,Maven Central
de.akquinet.android.archetypes,android-archetypes-it,1.1.0,jar,Maven Central
de.akquinet.android.archetypes,android-release,1.1.0,maven-archetype,Maven Central
de.akquinet.android.archetypes,android-quickstart,1.1.0,maven-archetype,Maven Central
de.akquinet.android.archetypes,android-archetype-project,1.1.0,pom,Maven Central
eu.inmite.android.lib,android-validation-komensky-parent,0.9.2,pom,Maven Central
eu.inmite.android.lib,android-styled-dialogs-parent,1.1.2,pom,Maven Central
com.aranea-apps.android.libs,android-async-runners-parent,1.0.1,pom,Maven Central
org.kevoree.corelibrary.android,org.kevoree.library.android.root,2.0.5,pom,Maven Central
ru.nikitav.android.archetypes,android-archetype-project,1.4,pom,Maven Central
it.tidalwave.bluebill.android,android-superpom,0.15,pom,Maven Central
io.joynr.android,core,1.24.2,pom,Maven Central
io.joynr.android,messaging,1.24.2,pom,Maven Central
io.joynr.android,common,1.24.2,pom,Maven Central
io.joynr.android,examples,1.19.9,pom,Maven Central
info.cukes,cucumber-android,1.2.6,pom,Maven Central
org.isoblue,isoblue-android,1.0.1,pom,Maven Central
com.mottimotti.android,parent,1.0.7,pom,Maven Central
net.simonvt,android-menudrawer,3.0.0,pom,Maven Central
com.codenameone,codenameone-android,7.0.154,jar,Maven Central
com.zoloz.android.build,zolozkit,1.4.2.240710110801,aar,Maven Central
net.bytebuddy,byte-buddy-android-test,1.14.18,pom,Maven Central
com.xiaoetong.android.sdk,webcore,2.2.46,aar,Maven Central
com.yandex.android,maps.mobile,4.6.1-navikit,aar,Maven Central
io.github.CshtZrgk,ocr-android,1.0.6,aar,Maven Central
com.alibaba.android,ddopenauth,1.5.0.11,aar,Maven Central
ai.djl.android,core,0.27.0,aar,Maven Central
world.mappable.android,maps.mobile,1.2.1-navikit,aar,Maven Central
com.zoloz.android.build,znfc,1.3.6.240223182256,aar,Maven Central
com.zoloz.android.build,nearx,1.3.6.240223182256,aar,Maven Central
io.joynr.android.messaging,mqtt,1.24.2,pom,Maven Central
io.joynr.android.messaging,websocket,1.24.2,pom,Maven Central
io.joynr.android,dependency-lock,1.24.2,pom,Maven Central
com.hianzuo.android,LibAndroidLogger,1.1.22,aar,Maven Central
io.github.CshtZrgk,jp2-android,1.0.0,aar,Maven Central
io.rollout.rox,rox-android,5.0.13,aar,Maven Central
com.prismacampaigns.sdk,PrismaSDK-Android,1.1.11,aar,Maven Central
com.mozu,mozu-api-android,2.6.1-RC1,aar,Maven Central
io.relevantbox,android-sdk,3.3.3,aar,Maven Central
cn.entertech.android,tdcsble,1.2.0-alpha01,aar,Maven Central
net.crashsight,crashsight-android,4.3.1.1,aar,Maven Central
com.bluecats,bluecats-android-sdk,2.1.8-r1,aar,Maven Central
com.helpshift,android-helpshift-aar,7.11.2,aar,Maven Central
com.hianzuo.android,LibSpring,1.0.15,aar,Maven Central
io.xenn,android-sdk,3.2.12,aar,Maven Central
cn.entertech.android,cushionble,1.0.0-alpha13,aar,Maven Central
com.nexmo.android,client-sdk,4.1.3,aar,Maven Central
com.uniquext.android,permission,2.1.3,aar,Maven Central
org.signal,ringrtc-android-debug,2.20.11.1,aar,Maven Central
com.gxun,gxun-sdk-android,0.9.3,aar,Maven Central
